Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
259,Do not order from them !,"November 01, 2022","I am trying to cancel an order as I made a mistake on it. I placed my order last night at about 10pm and this morning you are saying you can’t cancel it because it’s customised …. Nothing has been done Ont his order since last night, estimated delivery is 15th of November meaning this order has not been touched yet / printed or anything. Yet you still refuse to cancel it. What do I need to do ?????",13,marion chassua,3 reviews,GB,1
260,CHEERZ BOX poorly designed.,"October 27, 2022","Good concept.CHEERZ BOX poorly designed.Top lid splits in two, edges do not match.Unaesthetic and lets the dust through...Ugly fancy design. Try again: Efficiency first.Less is more.",14,aio neri,8 reviews,FR,3
261,Amazing Product,"October 10, 2022",The app is user friendly. The outcome is outstanding and the product ordered is fabulous. Not to mention the fast delivery and a superb customer support. I highly recommend Cheerz!,14,MAK,7 reviews,ES,5
262,Everything was perfect as always,"September 23, 2022",Everything was perfect as always. Many thanks!,14,Valeria C,1 review,ES,5
263,I didn't know the website but I saw…,"October 03, 2022","I didn't know the website but I saw it's an H&M partner and I decided to give it a go. IMPRESSIVE printing quality, I was happier with their results than with many other more popular photo websites'! Fast delivery too :)",14,Miss Ines Alves,5 reviews,PT,5
264,Test DUE,"September 19, 2022",Test DUE - ca marche,14,Laure de Montalembert,5 reviews,FR,5
265,The photos were amazing,"August 24, 2022","The photos were amazing, the result comparated with another brands are better they're so clearly",14,Paula,1 review,ES,5
266,Great service,"August 22, 2022","My experience was very good, I really liked the photos and the delivery was até the expected time",14,Inês,1 review,PT,5
267,Fast delivery ans super nice pictures,"August 20, 2022",,14,Benoit Parée,4 reviews,BE,5
268,The retro box,"August 18, 2022",I have the retro box. The photos are personalised and of a very good quality. The perfect present for birthday or other events.,14,Adriana,1 review,ES,5
269,super prestation,"August 16, 2022","rr'""r'r""'ree",14,naecoooooo,1 review,FR,5
270,Amazing quality!,"August 15, 2022",Amazing quality and would make a great present for someone. Thank you Cheerz! I will definitely be ordering again.🙂,14,TB,2 reviews,GB,5
271,Perfect 👍🏽,"August 08, 2022",,14,Marine,1 review,FR,5
272,Top du top extra,"August 07, 2022",,14,Mme Christian Cezard,4 reviews,FR,5
273,Superrrr photo 👍👍👍👍,"August 07, 2022",,14,Cool,2 reviews,FR,5
274,Great !,"August 06, 2022",Great !Thank you for the good quality and the rapid delivery,14,Pierre Zarader,3 reviews,FR,5
275,Amazing experience,"August 05, 2022","Amazing experience: great products, good quality, speedy delivery & software very easy to use….and we found a good deal in the net so very good price too!",14,Caroline L,1 review,FR,5
276,Great service,"July 26, 2022",Quick and easy process. Fast and cheap delivery.,14,Customer,8 reviews,GB,5
277,"App crashed, no confirmation email, bad customer service","March 31, 2022","i ordered photos from cheerz.com.After the payment, the app crashes. I never received a confirmation email but they took my money.I reached out to the customer service and they told me they don’t see my order in the system, but they can’t sent me my money back, yet. Since they weren’t helpful at all, I ordered somewhere else. I told them I wanna cancel my order if it ever shows up in their system. 1 day later, customer service told me my order magically appeared in the system and I cannot cancel it. I still didn’t get a confirmation email. They obviously don’t care what the costumer wants and try to make their mistakes their customers problem. Amazing. Will never order there again.",14,Lena E,2 reviews,US,1
278,I just love the photobooth magnets for…,"January 24, 2022",I just love the photobooth magnets for our fridge. We have been ordering them once a year so it shows our year in pictures :),14,Joana,5 reviews,PT,5
279,Best personal Xmas products,"December 09, 2021","Cheerz has very nice products, I ordered a very nice advent calendar, very nice idea to be able to keep the poster afterwards. Lots of perfect personal gifts for Xmas!!",14,Daniel,2 reviews,DE,5
280,"Good service, good quality and prices","December 07, 2021","Cheerz offers a good and very affordable service, with good quality photo printing, nice ideas for gifts, reliable delivery (my last orders arrived in UK 12 days before the date stated). I live  very far from my family, but I have now a way to reach them with pictures and very personal gifts. They are also very friendly, I appreciate the possibility to choose the cut of pictures you are given when you select photos.",15,mz,4 reviews,LB,5
281,Super qualité,"December 03, 2021",Super qualitéMerci,15,Rachel Laferte,1 review,FR,5
282,Super !,"September 24, 2021",Qualité de photos au top je recommande,15,Camille,1 review,FR,4
283,Je suis content super photo la pas…,"September 13, 2021",Je suis content super photo la pas prombleme vraiment content faire photo bon idee super exceme moi moi sourds vous inquiétez pas grand merci monde,15,Christelle Jccjuno,2 reviews,FR,5
284,Highly recommend!,"September 09, 2021",Great company- I order from the UK and find the shipping times totally acceptable for what is a totally customised product. The packaging is fun and the website is easy to use. And of course the prints are always fantastic!,15,Mollie,3 reviews,AR,5
285,Good quality but the delivery IS WAY…,"July 19, 2021",Good quality but the delivery IS WAY WAAAAY WAAAAAAY LONGUER than they tell before you make the order!,15,Soufiane  Tahiri ,5 reviews,FR,2
286,Cheerz is fun,"July 02, 2021","Cheerz is fun, true to the word. Quick and good quality prints speak volumes 😊",15,Deepika Kumar,1 review,BE,5
287,i liked the photos,"June 29, 2021",,15,Maria Mazzucchi,2 reviews,IT,5
288,DO NOT USE THIS COMPANY IN UK!!,"May 26, 2021",DO NOT USE THIS COMPANY IF YOU LIVE IN UK!! you will get charged vast customs charges to have the product delivered. More than the product is worth. Definitely worth using a UK based equivalent! They only tell you this in the small print...beware!,15,Kate Shipton,3 reviews,GB,1
289,Very little box,"May 04, 2021","Envoi rapide, packaging sympa, les photos sont cadrées comme voulu. Seul bémol : La qualité des photos est un peu limite je trouve.",15,Claire,3 reviews,IE,3
290,LEAKED GIRLFRIEND'S PHOTOS ONLINE.,"February 24, 2021",LEAKED GIRLFRIEND'S PHOTOS ONLINE.Threatened my girlfriend and blackmailed her with some of her photos.DO NOT USE,15,Joseph Griffiths-Bloor,1 review,GB,1
291,Service au top,"February 23, 2021",,15,Marc,2 reviews,FR,5
292,LIVRE PHOTO DE QUALITE CONTENTE DU…,"January 24, 2021",LIVRE PHOTO DE QUALITE CONTENTE DU RESULTAT RESTE UN PEU CHER QUAND IL Y BEAUCOUP DE PHOTOS JE RECOMMANDE,15,Nathalie Crouzet,7 reviews,FR,5
293,Excellent quality and order has arrived…,"January 16, 2021",Excellent quality and order has arrived in couple of days.. I love it..,15,Ines Macé,3 reviews,FR,5
294,Absolutely a nightmare,"January 06, 2021","Absolutely a nightmare, they made me pay the wrong price (higher) than what I should to pay.A customer service that just protect their interest being kind but don't helping you.I started optimistic and happy but it ended up as a long nightmare.The photos are also nothing special.Really disappointed.",15,Luke,5 reviews,IT,1
295,Album photo au top du top,"December 17, 2020",Album photo au top du top rien as dire !! Papier cadeau noël trop beau ! Énorme merci à CHEERZ je recommande à 100%.,15,Déborah,1 review,FR,5
